DOE — Experimentación Numérica | Algoritmo: HGA | 2026-05-04 16:29																				
Fitness Score = 10×A  ?  0.005×Ecap  ?  2×Dh  ?  12×Saero   |   10 iteraciones por nivel																				
																				
Ejecución	Nivel	Maletas DOE	Maletas Reales	Fitness Score	Cumplimiento %	Ocupación %	Lead Time (h)	Sat. Aero %	Maletas Atend.	Ecap	Rutas Totales	Rutas Atend.	Rutas No Atend.	Máx. Cap. Ruta	Avg Cap. Ruta	T. Planificación (ms)	T. Simulación (ms)	T. Total (ms)	CPU %	Memoria (MB)
DESV. EST.	Caso Operación Promedio	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?
																				
? Caso Intermedio Superior  ·  25578 maletas  ·  Fecha: 2028-04-23																				
1	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25578	0	848	848	0	97	30.2	41805	1	41806	10.5	218.1
2	Caso Intermedio Superior	25578	25578	-32533.07	100	2.7	24.2	1	25578	0	848	848	0	97	30.2	41562	1	41563	11	154.1
3	Caso Intermedio Superior	25578	25578	-32533.07	100	2.7	24.2	1	25578	0	848	848	0	97	30.2	41338	1	41339	10.2	186.2
4	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25578	0	848	848	0	97	30.2	41676	2	41678	11.4	81.2
5	Caso Intermedio Superior	25578	25578	-32533.07	100	2.7	24.2	1	25578	0	848	848	0	97	30.2	41739	1	41740	13.1	219
6	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25578	0	848	848	0	97	30.2	42288	1	42289	14.1	145.8
7	Caso Intermedio Superior	25578	25578	-32533.07	100	2.7	24.2	1	25578	0	848	848	0	97	30.2	41716	1	41717	10.8	140.5
8	Caso Intermedio Superior	25578	25578	-32533.07	100	2.7	24.2	1	25578	0	848	848	0	97	30.2	41599	1	41600	12.4	153.3
9	Caso Intermedio Superior	25578	25578	-32533.07	100	2.7	24.2	1	25578	0	848	848	0	97	30.2	42183	1	42184	12.8	269.1
10	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25578	0	848	848	0	97	30.2	43730	1	43731	19.2	127.2
MEDIA	Caso Intermedio Superior	25578	25578	-32537.87	100	2.7	24.2	1.4	25578	0	848	848	0	97	30.2	41963.6	1.1	41964.7	12.55	169.45
DESV. EST.	Caso Intermedio Superior	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?
																				
? Caso Máximo Estrés  ·  34849 maletas  ·  Fecha: 2029-01-03																				
1	Caso Máximo Estrés	34849	34849	-32927.33	100	3.7	24.1	2	34849	0	861	861	0	91	40.5	42486	1	42487	10.4	257.8
2	Caso Máximo Estrés	34849	34849	-32939.33	100	3.7	24.1	3	34849	0	861	861	0	91	40.5	42858	2	42860	10.5	215.7
3	Caso Máximo Estrés	34849	34849	-32915.33	100	3.7	24.1	1	34849	0	861	861	0	91	40.5	41629	2	41631	10.2	120.8
4	Caso Máximo Estrés	34849	34849	-32915.33	100	3.7	24.1	1	34849	0	861	861	0	91	40.5	42317	1	42318	12.1	235.8
5	Caso Máximo Estrés	34849	34849	-32915.33	100	3.7	24.1	1	34849	0	861	861	0	91	40.5	43346	2	43348	14.5	202.7
6	Caso Máximo Estrés	34849	34849	-32915.33	100	3.7	24.1	1	34849	0	861	861	0	91	40.5	42425	1	42426	16.5	149.3
7	Caso Máximo Estrés	34849	34849	-32915.33	100	3.7	24.1	1	34849	0	861	861	0	91	40.5	42847	1	42848	13.1	181.1
8	Caso Máximo Estrés	34849	34849	-32915.33	100	3.7	24.1	1	34849	0	861	861	0	91	40.5	42927	1	42928	13	196.9
9	Caso Máximo Estrés	34849	34849	-32915.33	100	3.7	24.1	1	34849	0	861	861	0	91	40.5	43113	1	43114	15.1	170
10	Caso Máximo Estrés	34849	34849	-32939.33	100	3.7	24.1	3	34849	0	861	861	0	91	40.5	42746	1	42747	13.6	94.8
MEDIA	Caso Máximo Estrés	34849	34849	-32921.33	100	3.7	24.1	1.5	34849	0	861	861	0	91	40.5	42669.4	1.3	42670.7	12.9	182.49
DESV. EST.	Caso Máximo Estrés	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?
