DOE — Experimentación Numérica | Algoritmo: ALNS | 2026-05-04 15:55																				
Fitness Score = 10×A  ?  0.005×Ecap  ?  2×Dh  ?  12×Saero   |   10 iteraciones por nivel																				
																				
Ejecución	Nivel	Maletas DOE	Maletas Reales	Fitness Score	Cumplimiento %	Ocupación %	Lead Time (h)	Sat. Aero %	Maletas Atend.	Ecap	Rutas Totales	Rutas Atend.	Rutas No Atend.	Máx. Cap. Ruta	Avg Cap. Ruta	T. Planificación (ms)	T. Simulación (ms)	T. Total (ms)	CPU %	Memoria (MB)
DESV. EST.	Caso Operación Promedio	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?
																				
? Caso Intermedio Superior  ·  25578 maletas  ·  Fecha: 2028-04-23																				
1	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25574	0	848	848	0	97	30.2	5309	1	5310	11.8	100.1
2	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25578	0	848	848	0	97	30.2	5955	1	5956	12.5	150.7
3	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25575	0	848	848	0	97	30.2	7530	1	7531	10.5	147.6
4	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25575	0	848	848	0	97	30.2	6031	1	6032	11.2	142.4
5	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25575	0	848	848	0	97	30.2	6111	1	6112	14.2	128
6	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25575	0	848	848	0	97	30.2	6145	1	6146	12.7	116.7
7	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25578	0	848	848	0	97	30.2	5819	1	5820	10.3	130.4
8	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25578	0	848	848	0	97	30.2	6443	1	6444	12.8	160.2
9	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25574	0	848	848	0	97	30.2	6118	1	6119	10.9	143.1
10	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25575	0	848	848	0	97	30.2	7576	0	7576	10.8	96.2
MEDIA	Caso Intermedio Superior	25578	25578	-32545.07	100	2.7	24.2	2	25575.7	0	848	848	0	97	30.2	6303.7	0.9	6304.6	11.77	131.54
DESV. EST.	Caso Intermedio Superior	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?
																				
? Caso Máximo Estrés  ·  34849 maletas  ·  Fecha: 2029-01-03																				
1	Caso Máximo Estrés	34849	34849	-32873.07	99	3.6	24.1	7	34517	0	861	858	3	91	40.2	6221	1	6222	10.9	80.6
2	Caso Máximo Estrés	34849	34849	-32924.3	99.3	3.7	24.1	8	34610	0	861	859	2	91	40.3	5610	1	5611	12.3	116.3
3	Caso Máximo Estrés	34849	34849	-32997.6	99.1	3.7	24.1	8	34544	0	861	860	1	91	40.2	6271	1	6272	10.5	59
4	Caso Máximo Estrés	34849	34849	-32987.33	100	3.7	24.1	7	34849	0	861	861	0	91	40.5	5271	1	5272	11.8	79
5	Caso Máximo Estrés	34849	34849	-32978.53	99	3.6	24.2	8	34497	0	861	857	4	91	40.3	5808	1	5809	11.3	67.6
6	Caso Máximo Estrés	34849	34849	-32906.33	98.3	3.6	24.2	8	34250	0	861	855	6	91	40.1	5781	2	5783	13.6	127.2
7	Caso Máximo Estrés	34849	34849	-32827.8	99.3	3.7	24.1	7	34619	0	861	858	3	91	40.3	8370	1	8371	12.5	55
8	Caso Máximo Estrés	34849	34849	-32843.6	99.1	3.7	24.1	7	34546	0	861	858	3	91	40.3	6837	1	6838	12.4	160.9
9	Caso Máximo Estrés	34849	34849	-32987.33	100	3.7	24.1	7	34834	0	861	861	0	91	40.5	6174	1	6175	11.3	111.8
10	Caso Máximo Estrés	34849	34849	-32906.33	98.3	3.6	24.2	8	34250	0	861	855	6	91	40.1	5693	1	5694	10.4	107.7
MEDIA	Caso Máximo Estrés	34849	34849	-32923.222	99.14	3.66	24.13	7.5	34551.6	0	861	858.2	2.8	91	40.28	6203.6	1.1	6204.7	11.7	96.51
DESV. EST.	Caso Máximo Estrés	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?	#¿NOMBRE?
